NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
NCT04542681,MANP in African Americans With Hypertension,MANP-2,Recruiting,No Results Available,"Hypertension, Resistant to Conventional Therapy",Drug: Placebo - 1st Cycle|Drug: MANP - 1st Cycle|Drug: MANP - 2nd Cycle,Change in Blood Pressure|Urinary cGMP excretion|Urinary sodium excretion|Glomerular filtration rate|Plasma aldosterone,Mayo Clinic,All,"20 Years to 70 Years   (Adult, Older Adult)",Phase 1,30,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,IRB # 17-007947,1-May-18,30-Dec-21,30-Jun-22,9-Sep-20,,9-Sep-20,"Mayo Clinic, Rochester, Minnesota, United States",,https://ClinicalTrials.gov/show/NCT04542681
NCT01571700,Investigation of Dysynchrony in Patients With Pulmonary Hypertension,,Recruiting,No Results Available,Pulmonary Hypertension,Procedure: Catheterization Pacing,Electrical or Mechanical Dysynchrony,Stanford University,All,"5 Years and older   (Child, Adult, Older Adult)",,100,Other,Observational,Observational Model: Case-Control|Time Perspective: Other,DS6901,Sep-06,Dec-21,Dec-21,5-Apr-12,,5-Mar-20,"Stanford Hospital, Stanford, California, United States",,https://ClinicalTrials.gov/show/NCT01571700
NCT04232124,Nashville - Hypertension Management Model,,Recruiting,No Results Available,Hypertension,Behavioral: Hypertension Management Model,Change in Systolic Blood Pressure,"Vanderbilt University Medical Center|University of California, Los Angeles|Cedars-Sinai Medical Center",Male,"35 Years to 79 Years   (Adult, Older Adult)",Not Applicable,60,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,191470,15-Feb-20,Jun-21,Jun-21,18-Jan-20,,12-Jun-20,"Masters Barbershop, Nashville, Tennessee, United States|Vanderbilt University Medical Center, Nash, Tennessee, United States",,https://ClinicalTrials.gov/show/NCT04232124
NCT03617458,Interventions Against Insulin Resistance in Pulmonary Arterial Hypertension,,Recruiting,No Results Available,Pulmonary Artery Hypertension,Drug: Metformin|Drug: Placebo|Device: mHealth Intervention|Device: Usual Care,"Change from baseline in six minute walk distance (meters)|Change from baseline to week 12 in World Health Organization Functional Class (WHO FC)|Change from baseline to week 12 in Body Weight (kilograms)|Change from baseline to week 12 in Body Mass Index (BMI)|Change from baseline to week 12 in Absolute Six-Minute Walk Distance (meters)|Change from baseline to week 12 in Borg Dyspnea Score|Change from baseline to week 12 in Emphasis-10 Quality of Life Survey Score|Change from baseline to week 12 in Daily Step Count, as measured by the mean daily step count|Change from Baseline to week 12 in Daily Step Count Goal Attainment, as measured by the percentage (%) of subjects who meet their daily step count goal|Change from baseline to week 12 in Daily Aerobic Time (minutes)|Change from baseline to week 12 in total daily activity assessed in step counts per minute|Change from baseline to week 12 in Resting Heart Rate (beats per minute)|Change from baseline to week 12 in Homeostatic model assessment (HOMA)-Insulin Resistance (IR)|Number of participants with abnormal laboratory values of Plasma Estradiol Metabolites|Number of participants with abnormal laboratory values of Urine Estradiol Metabolites|Number of participants with abnormal laboratory values of Plasma Lipid Profile|Number of participants with abnormal laboratory values of Plasma Free Fatty Acid Profiles|Number of participants with abnormal laboratory values of Plasma Acylcarnitine Profiles|Change from baseline to week 12 in Plasma Brain Natriuretic Peptide (BNP) Laboratory Value measured in pg/ml|Change from baseline to week 12 in Quadriceps Skeletal Muscle Triglyceride Content, as measured by % triglycerides|Change from baseline to week 12 in Quadriceps Skeletal Muscle Fatigue, as measured by total time to muscle fatigue during the muscle strength and function test|Change from baseline to week 12 in Quadriceps Skeletal Muscle Strength During the Muscle Strength and Function Test, as measured by maximum contraction strength|Change from baseline to week 12 in quadriceps skeletal muscle contractile tissue cross-sectional|Change from baseline to week 12 in RV Myocardial Muscle Triglyceride Content, as measured by % triglycerides|Change from baseline to week 12 in Tricuspid Annular Plane systolic Excursion (TAPSE), expressed in mm.|Change from baseline in Right Ventricle (RV) and Left Ventricle (LV) Ejection Fraction values as assessed by echocardiogram results, expressed in percentage (%).|Change from baseline in Right Ventricle (RV) Fractional Area, as assessed by echocardiogram results, expressed in percentage (%).|Change from baseline in Tricuspid Annular Velocity (S'), as assessed by echocardiogram results, expressed in cm/sec|Change from baseline in Tricuspid Regurgitant (TR) Velocity, as assessed by echocardiogram results, expressed in m/sec.|Change from baseline in Estimated Right Ventricle (RV) and Right Atrial (RA) Pressure, as assessed by echocardiogram results, expressed in mmHg|Change from baseline in Right Ventricle (RV) and Left Ventricle (LV) Diastolic Function as assessed by Doppler inflow patterns on echocardiogram.|Change from baseline in Right Ventricle (RV) Free Wall Longitudinal Strain, as assessed by echocardiogram results, and expressed as percent (%) change in myocardial deformation.|Number of participants with a change in Screening Clinical Characteristics|Number of patients with Treatment - Emergent Adverse Events (Safety and Tolerability of mHealth intervention and drug treatment in PAH subjects)|Patient Satisfaction of treatment interventions, as measured by change in emphasis-10 survey score|Dropout Rate Incidence|Number of patients with a PAH-related Hospitalization Incidence|Change from baseline to week 12 in Patient Medication Regimen, as measured by percentage (%) of subjects with a change in medication regimen|Incidence of Death",Vanderbilt University Medical Center|Mayo Clinic|The Cleveland Clinic,All,"18 Years and older   (Adult, Older Adult)",Phase 2,130,Other,Interventional,"Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Triple (Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",180198,23-Aug-18,Dec-22,Dec-22,6-Aug-18,,16-Jun-20,"Vanderbilt University Medical Center, Nashville, Tennessee, United States",,https://ClinicalTrials.gov/show/NCT03617458
NCT03558893,Health Disparities in Hypertension,,Recruiting,No Results Available,Hypertension|Cardiovascular Risk Factor,Behavioral: Forced Desynchrony,Blood pressure|Heart rate variability|venous epinephrine|venous norepinephrine|saliva cortisol|saliva melatonin|venous aldosterone|venous endocannabinoids|flow mediated dilation|beat-by-beat blood pressure|24-hr ambulatory blood pressure,Oregon Health and Science University,All,40 Years to 60 Years   (Adult),Not Applicable,52,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other,16803,1-Dec-18,1-Jul-22,1-Jul-22,15-Jun-18,,14-Oct-19,"Oregon Health & Science University, Portland, Oregon, United States",,https://ClinicalTrials.gov/show/NCT03558893
NCT02133872,Study 1: Effect of Minocycline Treatment on Drug-Resistant Hypertensive Patients,,Recruiting,No Results Available,Hypertension,Drug: Minocycline 100mg Group|Drug: Minocycline 200mg Group,Reduction in High Blood Pressure|Renal function changes,"University of Florida|National Heart, Lung, and Blood Institute (NHLBI)",All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 1,101,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,IRB2015005 -N|RO1HL3361028|2013-00102 Study 1|1R01HL132448-01,Oct-14,May-20,May-20,8-May-14,,5-Jun-19,"UF Health Cardiovascular Clinic, Gainesville, Florida, United States",,https://ClinicalTrials.gov/show/NCT02133872
NCT03969056,AI Activity Study in Patients With Elevated Blood Pressure,,Not yet recruiting,No Results Available,Hypertension,"Behavioral: Artificial Intelligence (AI) Activity|Behavioral: 10,000 steps",Changes in weekly daily average steps|Duration (minutes) of moderate to vigorous intensity physical activity (MVPA) per day|Changes in Systolic blood pressure (SBP)|Changes in diastolic blood pressure (DBP)|aortic stiffness|sodium intake|Changes in weight|Changes in Body Mass Index (BMI),"University of California, San Francisco",All,"18 Years and older   (Adult, Older Adult)",Not Applicable,40,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,18-26452,10-Oct-20,Mar-21,30-Jun-21,31-May-19,,20-Aug-20,"University of California San Francisco, San Francisco, California, United States",,https://ClinicalTrials.gov/show/NCT03969056
NCT03729544,Computerized Decision Support to Increase Detection of Chronic Thromboembolic Pulmonary Hypertension in Patients With Prior Pulmonary Embolism,CTEPH-DETECT,Recruiting,No Results Available,Chronic Thromboembolic Pulmonary Hypertension,Behavioral: On-screen computerized decision support alert,Frequency of echocardiographic screening for CTEPH in patients with prior PE and symptoms/signs suggestive of pulmonary hypertension or recent pulmonary testing suggesting unexplained respiratory symptoms at 3 months following randomization.|Frequency of CTEPH diagnosis at three months.,Brigham and Women's Hospital|Bayer,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,400,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Screening,2018P001681,1-Mar-19,30-Jan-21,30-Mar-21,2-Nov-18,,4-Aug-20,"Brigham and Women's Hospital, Boston, Massachusetts, United States",,https://ClinicalTrials.gov/show/NCT03729544
NCT02133885,Study 2: Effect of Minocycline Treatment on Drug-Resistant Hypertensive Patients,,Not yet recruiting,No Results Available,Hypertension,Drug: Minocycline Group|Other: Placebo Group,Reduction of ambulatory blood pressure,"University of Florida|National Heart, Lung, and Blood Institute (NHLBI)",All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 1|Phase 2,56,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",IRB201500594-N|RO1HL3361028|2013-00102 Study 2|R01HL132448-01,Dec-20,May-22,May-22,8-May-14,,13-Apr-20,"UF Health Cardiovascular Clinic, Gainesville, Florida, United States",,https://ClinicalTrials.gov/show/NCT02133885
NCT03312556,Treatment of Supine Hypertension in Autonomic Failure (CPAP),,Recruiting,No Results Available,Supine Hypertension|Autonomic Failure,Device: continuous positive airway pressure (CPAP)|Drug: Placebo,Supine Systolic Blood Pressure|Urinary volume,Vanderbilt University Medical Center,All,"18 Years to 85 Years   (Adult, Older Adult)",Not Applicable,12,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,010189-1|200124,21-Sep-17,21-Sep-21,21-Dec-21,17-Oct-17,,17-Sep-20,"Autonomic Dysfunction Center/ Vanderbilt University Medical Center, Nashville, Tennessee, United States",,https://ClinicalTrials.gov/show/NCT03312556
NCT03892057,Internet-based Positive Psychological Intervention for Hispanic/Latino Adult With Hypertension in a Primary Care Setting,,Recruiting,No Results Available,Uncontrolled Hypertension|Cardiovascular Risk Factor,Behavioral: Internet-based Positive Psychological Intervention,Change from Baseline Ambulatory Blood Pressure at 5- and 12-weeks|Center for Epidemiological Studies Depression Scale: Change from Baseline Depressive Symptoms at 5- and 12-weeks|Life Orientation Test-Revised: Change from Baseline Dispositional Optimism at 5- and 12-weeks|General Well-being Schedule: Change in Baseline Emotional Vitality at 5- and 12-weeks|Life Engagement Test: Change in Baseline Life engagement and Meaning at 5- and 12-weeks|Perceived Stress Scale: Change from Baseline Perceived Stress at 5- and 12-weeks|Modified Differential Emotions Scale: Change from Baseline Positive and Negative Affect at 5- and 12-weeks|Positive Skills: Change in Baseline Positive Skills at 5- and 12-weeks|Medical Outcomes Study Social Support Survey: Change in Baseline Perceived Social Support at 5- and 12-weeks|Medication Adherence: Change in Baseline Medication Adherence at 5- and 12-weeks|12-Item Short Form Survey: Change in Self-Reported Mental and Physical Health at 5- and 12-weeks,University of Illinois at Urbana-Champaign|Rosenfeld Heart Foundation Grant,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,70,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,8776,12-Apr-19,Jan-21,Jun-21,27-Mar-19,,5-Jul-19,"UI Health Pilsen Family Health Center Lower West, Chicago, Illinois, United States",,https://ClinicalTrials.gov/show/NCT03892057
NCT02909608,Actigraphy in Pediatric Pulmonary Hypertension,,Recruiting,No Results Available,Pediatric Pulmonary Hypertension,Other: No interventions / observations only,"Investigate and define the utility of the measurement properties of actigraphy in children with PAH: Baseline|Investigate and define the utility of the measurement properties of actigraphy in children with PAH: Week 26|Use statistical analysis to determine correlations of actigraphy with disease severity, progression, clinical worsening, and survival, based on data from this prospective clinical study.","University of Colorado, Denver",All,8 Years to 14 Years   (Child),,200,Other,Observational,Observational Model: Case-Control|Time Perspective: Prospective,16-1422,7-Oct-16,Mar-21,Mar-21,21-Sep-16,,24-Dec-20,"Children's Hospital Colorado, Aurora, Colorado, United States|University of Colorado, Aurora, Colorado, United States",,https://ClinicalTrials.gov/show/NCT02909608
NCT03604289,Angiotensin 1-7 in Obesity Hypertension,,Recruiting,No Results Available,Obesity|Hypertension,Drug: Angiotensin-(1-7)|Drug: Saline,Change in brachial artery diameter with reactive hyperemia|Heart Rate Variability|Circulating catecholamines|Change in coronary blood velocity to the cold pressor test|Change in systolic and diastolic blood pressure to the cold pressor test|Change in muscle sympathetic nerve activity to the cold pressor test,Amy Arnold|American Heart Association|Milton S. Hershey Medical Center,All,18 Years to 60 Years   (Adult),Early Phase 1,24,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science",STUDY00008170|18POST33960087,1-Apr-19,Jun-22,Jun-22,27-Jul-18,,8-Oct-20,"Penn State College of Medicine, Hershey, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT03604289
